genre,title,author,avg_rating,total_ratings,year_published,image_url
Art,The War of Art (Paperback),Steven Pressfield,3.99,110205,2002,/book/show/1319.The_War_of_Art
Art,Understanding Comics: The Invisible Art (Paperback),Scott McCloud,4.02,126408,1993,/book/show/102920.Understanding_Comics
Art,The Diary of Frida Kahlo: An Intimate Self-Portrait (Hardcover),Frida Kahlo,3.92,46787,1995,/book/show/91760.The_Diary_of_Frida_Kahlo
Art,Interaction of Color (Paperback),Josef Albers,4.05,12393,1971,/book/show/111113.Interaction_of_Color
Art,Leonardo da Vinci (Hardcover),Walter Isaacson,4.20,116671,2017,/book/show/34684622-leonardo-da-vinci
Art,Van Gogh: The Complete Paintings (Paperback),Ingo F. Walther,4.14,53266,1988,/book/show/203805.Van_Gogh
Art,The Creative Act: A Way of Being (Hardcover),Rick Rubin,4.02,58730,2023,/book/show/60965426-the-creative-act
Art,The Secret Lives of Color (Hardcover),Kassia St. Clair,4.11,17317,2016,/book/show/34122206-the-secret-lives-of-color
Art,Art Through the Ages (Hardcover),Fred S. Kleiner,3.85,42449,1926,/book/show/32525.Art_Through_the_Ages
Art,Color: A Natural History of the Palette (Paperback),Victoria Finlay,3.81,69751,2003,/book/show/19596.Color
Art,M.C. Escher: The Graphic Work (Paperback),M.C. Escher,3.94,69249,1954,/book/show/276287.M_C_Escher
Art,Just Kids (Hardcover),Patti Smith,4.22,318461,2010,/book/show/206318521-just-kids
Art,What Are You Looking At?: 150 Years of Modern Art in a Nutshell (Hardcover),Will Gompertz,4.19,11024,2012,/book/show/15929764-what-are-you-looking-at
Art,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered (Paperback),Austin Kleon,4.12,55787,2014,/book/show/18290401-show-your-work
Art,Figure Drawing for All It's Worth (Hardcover),Andrew Loomis,4.05,21285,1943,/book/show/147941.Figure_Drawing_for_All_It_s_Worth
Art,History of Art (Hardcover),H.W. Janson,3.81,36514,1962,/book/show/2693801-history-of-art
Art,"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession (Hardcover)",Michael Finkel,3.96,61854,2023,/book/show/62873378-the-art-thief
Art,The Lives of the Artists (Paperback),Giorgio Vasari,3.78,31586,1550,/book/show/233389.The_Lives_of_the_Artists
Art,The Art Spirit (Paperback),Robert Henri,3.93,23863,1929,/book/show/207781.The_Art_Spirit
Art,The Shock of the New (Paperback),Robert Hughes,3.75,34976,1980,/book/show/542639.The_Shock_of_the_New
Art,The Agony and the Ecstasy (Mass Market Paperback),Irving Stone,4.09,92657,1958,/book/show/321552.The_Agony_and_the_Ecstasy
Art,The Art Forger (Hardcover),Barbara A. Shapiro,3.75,90701,2012,/book/show/14568987-the-art-forger
Art,Leonardo's Notebooks (Hardcover),Leonardo da Vinci,4.00,50834,1519,/book/show/24096.Leonardo_s_Notebooks
Art,Camera Lucida: Reflections on Photography (Paperback),Roland Barthes,4.00,74556,1980,/book/show/497164.Camera_Lucida
Art,Art Matters: Because Your Imagination Can Change the World (Kindle Edition),Neil Gaiman,4.29,19441,2018,/book/show/40090596-art-matters
Art,Michelangelo and the Pope's Ceiling (Paperback),Ross King,3.84,37887,2002,/book/show/737957.Michelangelo_and_the_Pope_s_Ceiling
Art,The Lonely City: Adventures in the Art of Being Alone (Hardcover),Olivia Laing,3.92,31938,2016,/book/show/25667449-the-lonely-city
Art,The Power of Art (Hardcover),Simon Schama,3.92,17631,2006,/book/show/19797.The_Power_of_Art
Art,"The Work of Art in the Age of Its Technological Reproducibility, and Other Writings on Media (Paperback)",Walter Benjamin,4.08,23416,1936,/book/show/2474084.The_Work_of_Art_in_the_Age_of_Its_Technological_Reproducibility_and_Other_Writings_on_Media
Art,The Philosophy of Andy Warhol (From A to B and Back Again),Andy Warhol,3.84,47431,1975,/book/show/31818.The_Philosophy_of_Andy_Warhol
Art,On Ugliness (Hardcover),Umberto Eco,3.87,18898,2007,/book/show/520738.On_Ugliness
Art,In Praise of Shadows (Paperback),Jun'ichirō Tanizaki,4.02,27260,1933,/book/show/34473.In_Praise_of_Shadows
Art,The Dot (Hardcover),Peter H. Reynolds,4.26,34106,2003,/book/show/825377.The_Dot
Art,The Judgment of Paris: The Revolutionary Decade That Gave the World Impressionism (Paperback),Ross King,3.85,14449,2006,/book/show/56912.The_Judgment_of_Paris
Art,Unknown Title,Unknown Author,N/A,N/A,N/A,No Image
Art,Unknown Title,Unknown Author,N/A,N/A,N/A,No Image
Biography,Steve Jobs (Hardcover),Walter Isaacson,4.15,1308763,2011,/book/show/11084145-steve-jobs
Biography,The Diary of a Young Girl (Mass Market Paperback),Anne Frank,4.20,3983012,1947,/book/show/127441416-the-diary-of-a-young-girl
Biography,Becoming (Hardcover),Michelle Obama,4.44,1132990,2018,/book/show/38746485-becoming
Biography,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future (Hardcover)",Ashlee Vance,4.14,425218,2015,/book/show/25541028-elon-musk
Biography,Educated (Hardcover),Tara Westover,4.47,1704690,2018,/book/show/35133922-educated
Biography,"Unbroken: A World War II Story of Survival, Resilience and Redemption (Hardcover)",Laura Hillenbrand,4.39,976732,2010,/book/show/8664353-unbroken
Biography,John Adams (Paperback),David McCullough,4.08,369631,2001,/book/show/2203.John_Adams
Biography,Alexander Hamilton (Paperback),Ron Chernow,4.22,190735,2004,/book/show/16130.Alexander_Hamilton
Biography,Born a Crime: Stories From a South African Childhood (Hardcover),Trevor Noah,4.49,756512,2016,/book/show/29780253-born-a-crime
Biography,The Immortal Life of Henrietta Lacks (Hardcover),Rebecca Skloot,4.12,771575,2010,/book/show/6493208-the-immortal-life-of-henrietta-lacks
Biography,Leonardo da Vinci (Hardcover),Walter Isaacson,4.20,116671,2017,/book/show/34684622-leonardo-da-vinci
Biography,The Autobiography of Malcolm X (Mass Market Paperback),Malcolm X,4.37,280037,1965,/book/show/92057.The_Autobiography_of_Malcolm_X
Biography,Into the Wild (Kindle Edition),Jon Krakauer,4.02,1145621,1996,/book/show/60869516-into-the-wild
Biography,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban (Hardcover),Malala Yousafzai,4.16,603890,2012,/book/show/17851885-i-am-malala
Biography,Benjamin Franklin: An American Life (Paperback),Walter Isaacson,4.05,144988,2003,/book/show/10883.Benjamin_Franklin
Biography,Bossypants (ebook),Tina Fey,3.96,1032962,2011,/book/show/9418327-bossypants
Biography,I’m Glad My Mom Died (Hardcover),Jennette McCurdy,4.45,1264650,2022,/book/show/59366244-i-m-glad-my-mom-died
Biography,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character (Paperback)",Richard P. Feynman,4.27,209667,1985,/book/show/35167685-surely-you-re-joking-mr-feynman
Biography,Shoe Dog: A Memoir by the Creator of Nike (Hardcover),Phil Knight,4.47,337071,2016,/book/show/27220736-shoe-dog
Biography,A Promised Land (Kindle Edition),Barack Obama,4.33,254640,2020,/book/show/55361205-a-promised-land
Biography,When Breath Becomes Air (Kindle Edition),Paul Kalanithi,4.41,740272,2016,/book/show/25899336-when-breath-becomes-air
Biography,Night (Paperback),Elie Wiesel,4.38,1309694,1956,/book/show/1617.Night
Biography,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.30,556721,1969,/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
Biography,The Glass Castle (Paperback),Jeannette Walls,4.32,1296052,2005,/book/show/7445.The_Glass_Castle
Biography,Washington: A Life (Hardcover),Ron Chernow,4.17,77692,2010,/book/show/8255917-washington
Biography,Team of Rivals: The Political Genius of Abraham Lincoln (Paperback),Doris Kearns Goodwin,4.29,193332,2005,/book/show/2199.Team_of_Rivals
Biography,Cleopatra: A Life (Hardcover),Stacy Schiff,3.73,119913,2010,/book/show/7968243-cleopatra
Biography,The Autobiography of Benjamin Franklin (Paperback),Benjamin Franklin,3.86,88224,1791,/book/show/52309.The_Autobiography_of_Benjamin_Franklin
Biography,"Bonhoeffer: Pastor, Martyr, Prophet, Spy (Hardcover)",Eric Metaxas,4.23,78439,2010,/book/show/7501962-bonhoeffer
Biography,Man’s Search for Meaning (Paperback),Viktor E. Frankl,4.38,799440,1946,/book/show/4069.Man_s_Search_for_Meaning
Biography,The Rise of Theodore Roosevelt (Paperback),Edmund Morris,4.23,57822,1979,/book/show/40929.The_Rise_of_Theodore_Roosevelt
Biography,Catherine the Great: Portrait of a Woman (Hardcover),Robert K. Massie,3.94,105970,2011,/book/show/10414941-catherine-the-great
Biography,"Titan: The Life of John D. Rockefeller, Sr. (Paperback)",Ron Chernow,4.17,34072,1998,/book/show/16121.Titan
Biography,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis (Hardcover),J.D. Vance,3.85,472398,2016,/book/show/27161156-hillbilly-elegy
Biography,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer (Paperback),Kai Bird,4.32,52391,2005,/book/show/80571.American_Prometheus
Biography,The Hiding Place: The Triumphant True Story of Corrie Ten Boom (Mass Market Paperback),Corrie ten Boom,4.47,341949,1971,/book/show/561909.The_Hiding_Place
Biography,Long Walk to Freedom (Paperback),Nelson Mandela,4.36,90809,1994,/book/show/318431.Long_Walk_to_Freedom
Biography,"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,645196,1996,/book/show/252577.Angela_s_Ashes
Biography,The Wright Brothers (Hardcover),David McCullough,4.17,95626,2015,/book/show/22609391-the-wright-brothers
Biography,Wild: From Lost to Found on the Pacific Crest Trail (Hardcover),Cheryl Strayed,4.06,837305,2012,/book/show/12262741-wild
Biography,Greenlights (Hardcover),Matthew McConaughey,4.21,399801,2020,/book/show/52838315-greenlights
Biography,Grant (Hardcover),Ron Chernow,4.50,40593,2017,/book/show/34237826-grant
Biography,Dreams from My Father: A Story of Race and Inheritance (Paperback),Barack Obama,3.94,228424,1995,/book/show/88061.Dreams_from_My_Father
Biography,Narrative of the Life of Frederick Douglass (Paperback),Frederick Douglass,4.12,129933,1845,/book/show/36529.Narrative_of_the_Life_of_Frederick_Douglass
Biography,Spare (Hardcover),Prince Harry,3.84,403804,2023,/book/show/62296528-spare
Biography,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson (Paperback)",Mitch Albom,4.19,1116452,1997,/book/show/6900.Tuesdays_with_Morrie
Biography,Elon Musk (Hardcover),Walter Isaacson,4.36,62686,2023,/book/show/122765395-elon-musk
Biography,Just Kids (Hardcover),Patti Smith,4.22,318461,2010,/book/show/206318521-just-kids
Biography,Kitchen Confidential: Adventures in the Culinary Underbelly (Paperback),Anthony Bourdain,4.18,347333,2000,/book/show/33313.Kitchen_Confidential
Biography,Notorious RBG: The Life and Times of Ruth Bader Ginsburg (Hardcover),Irin Carmon,4.18,61068,2015,/book/show/25422234-notorious-rbg
Biography,Unknown Title,Unknown Author,N/A,N/A,N/A,No Image
Biography,Unknown Title,Unknown Author,N/A,N/A,N/A,No Image
Business,Good to Great: Why Some Companies Make the Leap... and Others Don't (Hardcover),Jim Collins,4.12,265102,2001,/book/show/76865.Good_to_Great
Business,"Zero to One: Notes on Startups, or How to Build the Future (Hardcover)",Peter Thiel,4.15,370118,2014,/book/show/18050143-zero-to-one
Business,The Lean Startup (Hardcover),Eric Ries,4.11,349101,2011,/book/show/10127019-the-lean-startup
Business,How to Win Friends & Influence People (Paperback),Dale Carnegie,4.22,1080749,1936,/book/show/4865.How_to_Win_Friends_Influence_People
Business,The 4-Hour Workweek (ebook),Timothy Ferriss,3.92,317929,2007,/book/show/368593.The_4_Hour_Workweek
Business,Start with Why: How Great Leaders Inspire Everyone to Take Action (Hardcover),Simon Sinek,4.10,248958,2009,/book/show/7108725-start-with-why
Business,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers (Hardcover),Ben Horowitz,4.22,101894,2014,/book/show/18176747-the-hard-thing-about-hard-things
Business,"Rich Dad, Poor Dad (Paperback)",Robert T. Kiyosaki,4.11,676423,1997,/book/show/69571.Rich_Dad_Poor_Dad
Business,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change (Paperback),Stephen R. Covey,4.16,786656,1989,/book/show/36072.The_7_Habits_of_Highly_Effective_People
Business,Never Split the Difference: Negotiating as if Your Life Depended on It (Paperback),Chris Voss,4.36,187258,2016,/book/show/123857637-never-split-the-difference
Business,Rework (Hardcover),Jason Fried,3.98,171022,2010,/book/show/6732019-rework
Business,The E-myth Revisited (Unknown Binding),Michael E. Gerber,4.07,91746,1985,/book/show/81948.The_E_myth_Revisited
Business,The Tipping Point: How Little Things Can Make a Big Difference (Paperback),Malcolm Gladwell,4.01,835440,2002,/book/show/2612.The_Tipping_Point
Business,Shoe Dog: A Memoir by the Creator of Nike (Hardcover),Phil Knight,4.47,337071,2016,/book/show/27220736-shoe-dog
Business,Outliers: The Story of Success (Hardcover),Malcolm Gladwell,4.19,829584,2008,/book/show/3228917-outliers
Business,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business (Paperback),Clayton M. Christensen,4.05,57494,1997,/book/show/2615.The_Innovator_s_Dilemma
Business,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant (Hardcover),W. Chan Kim,4.02,82609,2004,/book/show/4898.Blue_Ocean_Strategy
Business,Think and Grow Rich (Paperback),Napoleon Hill,4.17,359633,1937,/book/show/30186948-think-and-grow-rich
Business,Influence: The Psychology of Persuasion (Paperback),Robert B. Cialdini,4.22,166154,1984,/book/show/28815.Influence
Business,The Personal MBA: Master the Art of Business (Hardcover),Josh Kaufman,4.11,44579,2010,/book/show/9512985-the-personal-mba
Business,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Hardcover),Steven D. Levitt,4.01,876819,2005,/book/show/1202.Freakonomics
Business,The Five Dysfunctions of a Team (Paperback),Patrick Lencioni,4.11,128055,2002,/book/show/21343.The_Five_Dysfunctions_of_a_Team
Business,The Power of Habit: Why We Do What We Do in Life and Business (Hardcover),Charles Duhigg,4.14,538514,2012,/book/show/12609433-the-power-of-habit
Business,"Built to Last: Successful Habits of Visionary Companies (Good to Great, 2)",Jim Collins,4.06,81152,1994,/book/show/4122.Built_to_Last
Business,Made to Stick: Why Some Ideas Survive and Others Die (Hardcover),Chip Heath,3.99,96009,2006,/book/show/69242.Made_to_Stick
Business,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration (Hardcover)",Ed Catmull,4.22,98084,2014,/book/show/18077903-creativity-inc
Business,Steve Jobs (Hardcover),Walter Isaacson,4.15,1308763,2011,/book/show/11084145-steve-jobs
Business,The Intelligent Investor (Paperback),Benjamin Graham,4.24,141449,1949,/book/show/106835.The_Intelligent_Investor
Business,"Thinking, Fast and Slow (Hardcover)",Daniel Kahneman,4.17,546741,2011,/book/show/11468377-thinking-fast-and-slow
Business,Bad Blood: Secrets and Lies in a Silicon Valley Startup (Hardcover),John Carreyrou,4.41,272002,2018,/book/show/37976541-bad-blood
Business,Getting Things Done: The Art of Stress-Free Productivity (Paperback),David    Allen,4.01,163100,2001,/book/show/1633.Getting_Things_Done
Business,The Goal: A Process of Ongoing Improvement (Paperback),Eliyahu M. Goldratt,4.08,79189,1984,/book/show/113934.The_Goal
Business,"Lean In: Women, Work, and the Will to Lead (Hardcover)",Sheryl Sandberg,3.95,264866,2013,/book/show/16071764-lean-in
Business,Getting to Yes: Negotiating Agreement Without Giving In (Paperback),Roger Fisher,3.95,82107,1981,/book/show/313605.Getting_to_Yes
Business,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life... (Hardcover),Spencer Johnson,3.87,494161,1999,/book/show/4894.Who_Moved_My_Cheese_An_Amazing_Way_to_Deal_with_Change_in_Your_Work_and_in_Your_Life_
Business,"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future (Hardcover)",Chris Guillebeau,3.89,68722,2012,/book/show/12605157-the-100-startup
Business,The Everything Store: Jeff Bezos and the Age of Amazon (Hardcover),Brad Stone,4.14,75431,2013,/book/show/17660462-the-everything-store
Business,Drive: The Surprising Truth About What Motivates Us (Hardcover),Daniel H. Pink,3.95,122153,2009,/book/show/6452796-drive
Business,Principles: Life and Work (Audio CD),Ray Dalio,4.11,63050,2017,/book/show/34536488-principles
Business,"Delivering Happiness: A Path to Profits, Passion, and Purpose (Hardcover)",Tony Hsieh,4.04,75727,2000,/book/show/6828896-delivering-happiness
Business,Deep Work: Rules for Focused Success in a Distracted World (Hardcover),Cal Newport,4.17,174302,2016,/book/show/25744928-deep-work
Business,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future (Hardcover)",Ashlee Vance,4.14,425218,2015,/book/show/25541028-elon-musk
Business,Business Model Generation (Paperback),Alexander Osterwalder,4.21,57653,2010,/book/show/7723797-business-model-generation
Business,Measure What Matters (Kindle Edition),John Doerr,3.98,35369,2017,/book/show/39286958-measure-what-matters
Business,Blink: The Power of Thinking Without Thinking (Paperback),Malcolm Gladwell,3.96,608794,2005,/book/show/40102.Blink
Business,Purple Cow: Transform Your Business by Being Remarkable (Hardcover),Seth Godin,3.78,54666,N/A,/book/show/641604.Purple_Cow
Business,Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers (Paperback),Geoffrey A. Moore,4.02,30238,2006,/book/show/61329.Crossing_the_Chasm
Business,The One Minute Manager (Hardcover),Kenneth H. Blanchard,3.95,143444,1981,/book/show/763362.The_One_Minute_Manager
Business,Business adventures (Hardcover),John Brooks,3.81,24152,1969,/book/show/4191136-business-adventures
Business,Radical Candor: Be a Kickass Boss Without Losing Your Humanity (Hardcover),Kim Malone Scott,4.06,51000,2017,/book/show/29939161-radical-candor
Business,Unknown Title,Unknown Author,N/A,N/A,N/A,No Image
Business,Unknown Title,Unknown Author,N/A,N/A,N/A,No Image
Children's,Charlotte’s Web (Paperback),E.B. White,4.20,1953877,1952,/book/show/24178.Charlotte_s_Web
Children's,"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,10812315,1997,/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
Children's,The Giving Tree (Hardcover),Shel Silverstein,4.38,1188763,1964,/book/show/370493.The_Giving_Tree
Children's,Matilda (Hardcover),Roald Dahl,4.34,1035336,1988,/book/show/39988.Matilda
Children's,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia)",C.S. Lewis,4.24,2983429,1950,/book/show/132080146-the-lion-the-witch-and-the-wardrobe
Children's,Green Eggs and Ham (Hardcover),Dr. Seuss,4.31,815840,1960,/book/show/23772.Green_Eggs_and_Ham
Children's,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.16,890942,1964,/book/show/6310.Charlie_and_the_Chocolate_Factory
Children's,The Little Prince (Hardcover),Antoine de Saint-Exupéry,4.33,2296922,1943,/book/show/157993.The_Little_Prince
Children's,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,4245437,1998,/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
Children's,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,4553445,1999,/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Children's,Where the Sidewalk Ends (Hardcover),Shel Silverstein,4.34,1461834,1974,/book/show/30119.Where_the_Sidewalk_Ends
Children's,The Secret Garden (Hardcover),Frances Hodgson Burnett,4.16,1237231,1911,/book/show/2998.The_Secret_Garden
Children's,"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,4.19,566357,1957,/book/show/233093.The_Cat_in_the_Hat
Children's,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,3975217,2000,/book/show/58613424-harry-potter-and-the-goblet-of-fire
Children's,James and the Giant Peach (Hardcover),Roald Dahl,4.03,497202,1961,/book/show/6689.James_and_the_Giant_Peach
Children's,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,3610449,2003,/book/show/58613451-harry-potter-and-the-order-of-the-phoenix
Children's,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3489582,2005,/book/show/58613345-harry-potter-and-the-half-blood-prince
Children's,The Very Hungry Caterpillar (Board book),Eric Carle,4.34,530754,1969,/book/show/4948.The_Very_Hungry_Caterpillar
Children's,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.98,1245313,1962,/book/show/33574273-a-wrinkle-in-time
Children's,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,3933870,2007,/book/show/58613224-harry-potter-and-the-deathly-hallows
Children's,The BFG (Paperback),Roald Dahl,4.23,506981,1982,/book/show/6319.The_BFG
Children's,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38,386611,1928,/book/show/99107.Winnie_the_Pooh
Children's,How the Grinch Stole Christmas! (Hardcover),Dr. Seuss,4.38,433260,1957,/book/show/113946.How_the_Grinch_Stole_Christmas_
Children's,Goodnight Moon (Hardcover),Margaret Wise Brown,4.31,385615,1947,/book/show/32929.Goodnight_Moon
Children's,"Oh, the Places You’ll Go! (Hardcover)",Dr. Seuss,4.37,426804,1990,/book/show/191139.Oh_the_Places_You_ll_Go_
Children's,The Witches (Paperback),Roald Dahl,4.18,413992,1981,/book/show/6327.The_Witches
Children's,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32,1052150,1908,/book/show/8127.Anne_of_Green_Gables
Children's,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,4.02,549702,1999,/book/show/78411.The_Bad_Beginning
Children's,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,4.00,488569,1900,/book/show/236093.The_Wonderful_Wizard_of_Oz
Children's,"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.05,575729,1955,/book/show/65605.The_Magician_s_Nephew
Children's,Alice’s Adventures in Wonderland / Through the Looking-Glass (Paperback),Lewis Carroll,4.07,588244,1871,/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
Children's,Peter Pan (Hardcover),J.M. Barrie,4.04,361207,1911,/book/show/34268.Peter_Pan
Children's,The Velveteen Rabbit (Paperback),Margery Williams Bianco,4.31,266182,1922,/book/show/144974.The_Velveteen_Rabbit
Children's,Coraline (Paperback),Neil Gaiman,4.13,745669,2002,/book/show/17061.Coraline
Children's,The Lorax (Hardcover),Dr. Seuss,4.35,358411,1971,/book/show/7784.The_Lorax
Children's,The Wind in the Willows (Paperback),Kenneth Grahame,4.02,230865,1908,/book/show/5659.The_Wind_in_the_Willows
Children's,The Phantom Tollbooth (Paperback),Norton Juster,4.20,297660,1961,/book/show/378.The_Phantom_Tollbooth
Children's,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,3.98,463657,1951,/book/show/121749.Prince_Caspian
Children's,Bridge to Terabithia (Kindle Edition),Katherine Paterson,4.06,570730,1977,/book/show/40940121-bridge-to-terabithia
Children's,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3258396,2005,/book/show/123675190-the-lightning-thief
Children's,A Light in the Attic (Hardcover),Shel Silverstein,4.36,465230,1981,/book/show/30118.A_Light_in_the_Attic
Children's,"One Fish, Two Fish, Red Fish, Blue Fish (Hardcover)",Dr. Seuss,4.18,210263,1960,/book/show/7770.One_Fish_Two_Fish_Red_Fish_Blue_Fish
Children's,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09,490162,1952,/book/show/140225.The_Voyage_of_the_Dawn_Treader
Children's,"Holes (Holes, #1)",Louis Sachar,4.01,1298464,1998,/book/show/38709.Holes
Children's,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,3.91,373875,1954,/book/show/84119.The_Horse_and_His_Boy
Children's,"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,4.21,278820,1932,/book/show/8337.Little_House_in_the_Big_Woods
Children's,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,4.22,253051,1902,/book/show/19321.The_Tale_of_Peter_Rabbit
Children's,A Little Princess (Paperback),Frances Hodgson Burnett,4.23,317324,1905,/book/show/3008.A_Little_Princess
Children's,"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,3.96,315915,1953,/book/show/65641.The_Silver_Chair
Children's,"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.15,204966,1945,/book/show/19302.Pippi_Longstocking
Children's,Unknown Title,Unknown Author,N/A,N/A,N/A,No Image
Children's,Unknown Title,Unknown Author,N/A,N/A,N/A,No Image
Christian,Mere Christianity (Paperback),C.S. Lewis,4.36,439793,1952,/book/show/11138.Mere_Christianity
Christian,The Screwtape Letters (Kindle Edition),C.S. Lewis,4.27,484770,1942,/book/show/8130077-the-screwtape-letters
Christian,The Great Divorce (Paperback),C.S. Lewis,4.33,168653,1946,/book/show/25845273-the-great-divorce
Christian,Crazy Love: Overwhelmed by a Relentless God (Paperback),Francis Chan,4.17,195585,N/A,/book/show/3206011-crazy-love
Christian,The Shack: Where Tragedy Confronts Eternity (Kindle Edition),William Paul Young,3.83,674926,2007,/book/show/40874325-the-shack
Christian,Redeeming Love (Paperback),Francine Rivers,4.51,350065,1991,/book/show/11422.Redeeming_Love
Christian,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia)",C.S. Lewis,4.24,2983429,1950,/book/show/132080146-the-lion-the-witch-and-the-wardrobe
Christian,The Case for Christ (Mass Market Paperback),Lee Strobel,4.22,144084,1998,/book/show/73186.The_Case_for_Christ
Christian,The Purpose Driven Life: What on Earth Am I Here for? (Paperback),Rick Warren,3.98,284115,2002,/book/show/56495.The_Purpose_Driven_Life
Christian,The Pilgrim's Progress (Paperback),John Bunyan,4.07,150272,1678,/book/show/29797.The_Pilgrim_s_Progress
